være;Jeg er glad.;to be;I am happy.;
et riksmål;Han skriver fremdeles på tradisjonelt riksmål;standard Norwegian;He still writes in traditional standard Norwegian;
samtlige;Samtlige ansatte må delta på det viktige kurset;all;All employees must participate in the important course;
danse;Vi liker å danse sammen på festen;dance;We like to dance together at the party;
en sykkel;Jeg sykler til jobben på min nye sykkel;bicycle;I bike to work on my new bicycle;
avansere;Laget håper å avansere til neste runde i cupen;advance;The team hopes to advance to the next round in the cup;
en spenning;Filmen gir publikum mye spenning og glede;excitement;The movie gives the audience much excitement and joy;
en låt;Dette er en veldig populær låt på radioen nå;song;This is a very popular song on the radio now;
hive;Du må ikke hive søppel i naturen;throw;You must not throw trash in nature;
forbeholde;Vi må forbeholde oss retten til å endre prisen;reserve;We must reserve the right to change the price;
svekke;Dårlig søvn kan svekke immunforsvaret ditt betydelig;weaken;Poor sleep can weaken your immune system significantly;
bla;Jeg liker å bla i gamle bøker på biblioteket;flip through;I like to flip through old books at the library;
en åpning;Butikken feirer åpningsfest med mange gode tilbud;opening;The store celebrates its opening party with many good offers;
formidle;Læreren er flink til å formidle vanskelig stoff;convey;The teacher is good at conveying difficult material;
rydde;Jeg må rydde rommet før gjestene kommer hit;tidy;I must tidy the room before the guests arrive here;
en nytte;Dette verktøyet er til stor nytte i hagen;benefit;This tool is of great benefit in the garden;
et våpen;Soldaten bærer et våpen som en del av utstyret;weapon;The soldier carries a weapon as part of the equipment;
vekke;Kan du vekke meg klokka sju i morgen tidlig;wake;Can you wake me at seven tomorrow morning;
opptre;Bandet skal opptre på scenen i kveld;perform;The band will perform on stage tonight;
tolke;Hun jobber med å tolke mellom norsk og engelsk;interpret;She works with interpreting between Norwegian and English;
en avgjørelse;Lederen må ta en viktig avgjørelse om prosjektet;decision;The leader must make an important decision about the project;
et hjørne;Kiosken ligger rett rundt det neste hjørnet;corner;The kiosk is located right around the next corner;
en bit;Vil du ha en liten bit av kaken min;piece;Do you want a small piece of my cake;
stygg;Det er en stygg flekk på skjorta mi.;ugly;There is an ugly stain on my shirt.;
fersk;Bakeren selger ferskt brød hver morgen.;fresh;The baker sells fresh bread every morning.;
et gulv;Jeg vasker et gulv i stua nå.;a floor;I am washing a floor in the living room now.;
en forening;Vi starter en forening for studenter.;an association;We are starting an association for students.;
et tog;Jeg tar et tog til Oslo i dag.;a train;I am taking a train to Oslo today.;
en sone;Du må parkere i en annen sone.;a zone;You must park in another zone.;
rå;Liker du å spise rå fisk?;raw;Do you like to eat raw fish?;
søren;Søren, jeg glemte nøklene mine hjemme!;darn;Darn, I forgot my keys at home!;
et forlag;Et forlag gir ut den nye boka.;a publisher;A publisher is releasing the new book.;
nødt;Jeg er nødt til å dra nå.;must;I must leave now.;
en region;Denne regionen har vakker natur.;a region;This region has beautiful nature.;
et drap;Politiet etterforsker et drap i byen.;a murder;The police are investigating a murder in the city.;
en plikt;Det er din plikt å hjelpe til.;a duty;It is your duty to help out.;
uenig;Jeg er uenig i det du sier.;disagreeing;I am disagreeing with what you are saying.;
å stole;Jeg kan stole på min beste venn.;to trust;I can trust my best friend.;
å drømme;Jeg liker å drømme om fremtiden.;to dream;I like to dream about the future.;
real;Han er en real og ærlig person.;fair;He is a fair and honest person.;
gift;Min søster er gift med en lærer.;married;My sister is married to a teacher.;
en forbruker;En forbruker har mange rettigheter i Norge.;a consumer;A consumer has many rights in Norway.;
obligatorisk;Det er obligatorisk å møte opp på kurset.;mandatory;It is mandatory to show up for the course.;
å telle;Barnet lærer å telle til ti.;to count;The child is learning to count to ten.;
en fyr;Han er en hyggelig fyr fra Bergen.;a guy;He is a nice guy from Bergen.;
en pappa;Min pappa lager middag til oss.;a dad;My dad is making dinner for us.;
en handel;De gjør en god handel på markedet.;a trade;They are making a good trade at the market.;
en mobiltelefon;Jeg kjøper en ny mobiltelefon i butikken.;a mobile phone;I am buying a new mobile phone in the shop.;
en kollega;Jeg jobber med en snill kollega.;a colleague;I work with a kind colleague;
en utgift;Vi har en stor utgift denne måneden.;an expense;We have a large expense this month;
en beslutning;Han tar en viktig beslutning i dag.;a decision;He makes an important decision today;
et firma;Mitt firma selger klær på nettet.;a company;My company sells clothes online;
en selger;En flink selger hjelper kunden i butikken.;a seller;A clever seller helps the customer in the shop;
en dagbok;Hun skriver i dagboken sin hver kveld.;a diary;She writes in her diary every evening;
venstre;Du må svinge til venstre i krysset.;left;You must turn left at the intersection;
en diabetes;Han lever et godt liv med diabetes.;diabetes;He lives a good life with diabetes;
en trafikk;Det er mye trafikk i Oslo i dag.;traffic;There is much traffic in Oslo today;
å blåse;Vinden begynner å blåse kraftig nå.;to blow;The wind begins to blow strongly now;
en balkong;Vi drikker kaffe på en solfylt balkong.;a balcony;We drink coffee on a sunny balcony;
et sikte;Han har et klart sikte på målet.;a sight;He has a clear sight of the goal;
å bake;Jeg liker å bake brød i helgen.;to bake;I like to bake bread during the weekend;
et kjøtt;Vi spiser mye kjøtt til middag.;meat;We eat a lot of meat for dinner;
et kjøkken;Maten står på bordet på kjøkkenet.;a kitchen;The food is on the table in the kitchen;
nedenfor;De bor i leiligheten rett nedenfor oss.;below;They live in the apartment right below us;
hovedsak;Dette er i hovedsak et teknisk problem.;main point;This is mainly a technical problem;
økologisk;Hun kjøper bare økologisk mat i butikken.;organic;She only buys organic food in the store;
å skru;Jeg må skru fast skruen i veggen.;to screw;I must screw the screw into the wall;
en billett;Jeg kjøper en billett til toget nå.;a ticket;I am buying a ticket for the train now;
mill.;Byen har over en mill. innbyggere.;million;The city has over a million inhabitants;
en traktor;Bonden kjører en rød traktor på åkeren.;a tractor;The farmer drives a red tractor in the field;
et kilo;Jeg trenger et kilo epler til kaken.;a kilo;I need a kilo of apples for the cake;
å venne;Det tar tid å venne seg til kulden.;to accustom;It takes time to get used to the cold;
en pakke;Posten leverer en stor pakke på døren.;a package;The mail delivers a large package at the door;
uheldig;Det var uheldig at vi mistet bussen i dag.;unlucky;It was unlucky that we missed the bus today.;
antagelig;Han kommer antagelig på besøk i morgen kveld.;probably;He is probably coming to visit tomorrow evening.;
å banke;Jeg må banke på døren før jeg går inn.;to knock;I must knock on the door before I go in.;
ordentlig;Du må gjøre et ordentlig arbeid med denne oppgaven.;proper;You must do a proper job with this task.;
en russetid;Mange unge feirer sin russetid i mai måned.;graduation period;Many young people celebrate their graduation period in May.;
homofil;Min beste venn er homofil og veldig hyggelig.;homosexual;My best friend is homosexual and very nice.;
et verktøy;Jeg trenger et verktøy for å reparere sykkelen.;a tool;I need a tool to repair the bicycle.;
en øvelse;Denne øvelsen hjelper deg å lære språket raskere.;an exercise;This exercise helps you learn the language faster.;
et regelverk;Alle ansatte må følge bedriftens strenge regelverk.;regulations;All employees must follow the company's strict regulations.;
grov;Brødet er laget av grovt mel og smaker godt.;coarse;The bread is made of coarse flour and tastes good.;
å bite;Hunden min liker ikke å bite andre mennesker.;to bite;My dog does not like to bite other people.;
en retningslinje;Vi følger en klar retningslinje for sikkerhet på jobb.;a guideline;We follow a clear guideline for safety at work.;
et virkemiddel;Musikk er et sterkt virkemiddel i denne filmen.;a means;Music is a strong means in this movie.;
dels;Planen er dels ferdig, men vi trenger mer tid.;partly;The plan is partly finished, but we need more time.;
en bolig;Denne leiligheten er en fin bolig for en familie.;a home;This apartment is a nice home for a family.;
å prate;Vi liker å prate sammen i lunsjpausen.;to talk;We like to talk together during the lunch break.;
et trekk;Et typisk trekk ved ham er hans gode humør.;a feature;A typical feature of him is his good mood.;
ledig;Er denne stolen ledig eller sitter det noen her?;free;Is this chair free or is someone sitting here.;
ei høne;Ei høne legger egg hver eneste dag på gården.;a hen;A hen lays eggs every single day on the farm.;
en karriere;Hun ønsker seg en spennende karriere innen medisin.;a career;She wants an exciting career within medicine.;
en adresse;Kan du skrive din adresse på dette papiret?;an address;Can you write your address on this paper?;
et fellesskap;Vi har et godt fellesskap i nabolaget vårt.;a community;We have a good community in our neighborhood.;
et papir;Jeg trenger et hvitt papir for å skrive brev.;a paper;I need a white paper to write a letter.;
en fritidsaktivitet;Fotball er en populær fritidsaktivitet for mange barn.;a leisure activity;Football is a popular leisure activity for many children.;
et budskap;Filmen har et viktig budskap om vennskap og kjærlighet.;a message;The movie has an important message about friendship and love.;
en helhet;Vi må se hele prosjektet som en helhet.;totality;We must see the whole project as a totality.;
opptil;Det kan ta opptil to timer å kjøre dit.;up to;It can take up to two hours to drive there.;
stabil;Pasienten er nå i en stabil tilstand.;stable;The patient is now in a stable condition.;
en restaurant;Vi spiser middag på en italiensk restaurant.;restaurant;We are eating dinner at an Italian restaurant.;
en statistikk;Denne statistikken viser at befolkningen vokser.;statistic;This statistic shows that the population is growing.;
selvstendig;Hun trives med å jobbe som selvstendig næringsdrivende.;independent;She enjoys working as an independent businesswoman.;
gidde;Jeg gidder ikke å gå på butikken i dag.;bother;I can't be bothered to go to the store today.;
ordinær;Dette er en helt ordinær dag på jobben.;ordinary;This is a completely ordinary day at work.;
en stråle;En tynn stråle av lys treffer gulvet.;beam;A thin beam of light hits the floor.;
forby;Myndighetene velger å forby røyking på offentlige steder.;prohibit;The authorities choose to prohibit smoking in public places.;
stjele;Det er ulovlig å stjele fra andre mennesker.;steal;It is illegal to steal from other people.;
omgivelser;Vi må ta vare på våre vakre omgivelser.;surroundings;We must take care of our beautiful surroundings.;
en frukt;Jeg spiser en frisk frukt hver eneste dag.;fruit;I eat a fresh fruit every single day.;
en forestilling;Vi skal se en forestilling på teateret i kveld.;performance;We are going to see a performance at the theater tonight.;
et bevis;Politiet har ingen bevis mot den mistenkte.;proof;The police have no proof against the suspect.;
militær;Han utfører sin militære tjeneste i nord.;military;He is performing his military service in the north.;
en skoletid;Barna leker sammen i sin skoletid.;school time;The children play together during their school time.;
original;Dette maleriet er en ekte original.;original;This painting is a real original.;
trives;Jeg trives veldig godt i den nye jobben.;thrive;I thrive very well in the new job.;
et innspill;Takk for et godt innspill til diskusjonen.;input;Thank you for a good input to the discussion.;
menneskelig;Det er menneskelig å gjøre feil i blant.;human;It is human to make mistakes sometimes.;
pendle;Mange velger å pendle med tog til Oslo.;commute;Many choose to commute by train to Oslo.;
henhold;Alt gjøres i henhold til de nye reglene.;accordance;Everything is done in accordance with the new rules.;
en parkeringsplass;Det er vanskelig å finne en ledig parkeringsplass.;parking space;It is difficult to find a vacant parking space.;
berøre;Du må ikke berøre den varme ovnen.;touch;You must not touch the hot stove.;
risikere;Vi kan ikke risikere å miste jobben.;to risk;We cannot risk losing the job.;
en radio;Han hører på radio hver morgen.;a radio;He listens to the radio every morning.;
kontakte;Jeg må kontakte legen min i dag.;to contact;I must contact my doctor today.;
en deltakelse;Din deltakelse i kurset er viktig.;a participation;Your participation in the course is important.;
etisk;Det er et etisk spørsmål for oss.;ethical;It is an ethical question for us.;
en rad;Vi sitter på den første raden.;a row;We are sitting in the first row.;
en presentasjon;Hun holder en presentasjon om miljøet.;a presentation;She is giving a presentation about the environment.;
en fraflytting;Mange kommuner opplever stor fraflytting.;an out-migration;Many municipalities experience high out-migration.;
overbevise;Jeg prøver å overbevise ham om planen.;to convince;I am trying to convince him of the plan.;
en innføring;Boken gir en god innføring i faget.;an introduction;The book gives a good introduction to the subject.;
en fader;Vår fader i himmelen er en kjent bønn.;a father;Our father in heaven is a well-known prayer.;
underveis;Vi lærer mye mens vi er underveis.;underway;We learn a lot while we are underway.;
en partner;Min partner jobber i samme firma.;a partner;My partner works in the same firm.;
rope;Barna liker å rope i parken.;to shout;The children like to shout in the park.;
utfordre;Læreren vil utfordre elevene mer.;to challenge;The teacher wants to challenge the students more.;
en etasje;Kontoret ligger i tredje etasje.;a floor;The office is on the third floor.;
et tilskudd;Bedriften får et tilskudd fra staten.;a grant;The company receives a grant from the state.;
en kapasitet;Vi har ikke kapasitet til mer nå.;a capacity;We do not have capacity for more now.;
sikt;Det er dårlig sikt på veien i dag.;visibility;There is poor visibility on the road today.;
en omsetning;Butikken har en høy omsetning i år.;a turnover;The shop has a high turnover this year.;
en kø;Det er en lang kø utenfor butikken.;a queue;There is a long queue outside the shop.;
en konkurrent;Vår største konkurrent ligger i Oslo.;a competitor;Our biggest competitor is located in Oslo.;
konkludere;Vi må konkludere møtet før klokka fem.;to conclude;We must conclude the meeting before five o'clock.;
en moderator;En moderator leder debatten på en god måte.;a moderator;A moderator leads the debate in a good way.;
inspirere;Gode historier kan inspirere mange mennesker.;to inspire;Good stories can inspire many people.;
noensinne;Ingen har noensinne sett noe lignende i byen.;ever;No one has ever seen anything like it in town.;
en finanskrise;En finanskrise påvirker økonomien i hele verden.;a financial crisis;A financial crisis affects the economy in the whole world.;
tilfeldig;Det var helt tilfeldig at vi møttes på gata.;random;It was completely random that we met on the street.;
en regle;Barna lærer en morsom regle i barnehagen.;a nursery rhyme;The children learn a funny nursery rhyme in kindergarten.;
midlertidig;Dette er bare en midlertidig løsning på problemet.;temporary;This is only a temporary solution to the problem.;
vestlig;Mange følger en vestlig livsstil i dag.;western;Many follow a western lifestyle today.;
ei strand;Vi går ofte på stranda om sommeren.;a beach;We often go to the beach in the summer.;
et bud;Han gir et bud på den nye leiligheten.;a bid;He gives a bid on the new apartment.;
knuser;Han knuser glasset ved et uhell på kjøkkenet.;crushes;He crushes the glass by accident in the kitchen.;
forsterker;Læreren forsterker viktigheten av å lese hver dag.;reinforces;The teacher reinforces the importance of reading every day.;
et grep;Hun tar et fast grep om veska si.;a grip;She takes a firm grip on her bag.;
fastsetter;Regjeringen fastsetter nye regler for skatt i år.;determines;The government determines new rules for tax this year.;
et legemiddel;Legen skriver ut et legemiddel mot smertene.;a medicine;The doctor prescribes a medicine for the pain.;
en administrasjon;En effektiv administrasjon sparer bedriften for mye tid.;an administration;An efficient administration saves the company much time.;
tilfredsstiller;Dette resultatet tilfredsstiller ikke kravene våre.;satisfies;This result does not satisfy our requirements.;
et forbruk;Vi må redusere vårt forbruk av plast hver dag.;a consumption;We must reduce our consumption of plastic every day.;
ærlig;Du må være ærlig når du snakker med meg.;honest;You must be honest when you talk to me.;
en studie;Dette er en spennende studie om miljøet.;a study;This is an exciting study about the environment.;
et opplegg;Læreren lager et godt opplegg for klassen sin.;a plan;The teacher makes a good plan for his class.;
en gud;Noen mennesker ber til en gud hver dag.;a god;Some people pray to a god every day.;
et ekteskap;De feirer ti år i et lykkelig ekteskap.;a marriage;They celebrate ten years in a happy marriage.;
sliten;Jeg er veldig sliten etter en lang arbeidsdag.;tired;I am very tired after a long workday.;
et potensial;Hun har et stort potensial innen musikk.;a potential;She has a great potential within music.;
en hobby;Min favoritthobby er å lese bøker.;a hobby;My favorite hobby is to read books.;
en næring;Fiskeri er en viktig næring for Norge.;an industry;Fishing is an important industry for Norway.;
en trend;Denne nye trenden sprer seg raskt i byen.;trend;This new trend is spreading fast in the city.;
vellykket;Prosjektet er veldig vellykket og alle er glade.;successful;The project is very successful and everyone is happy.;
et vilkår;Du må godta hvert vilkår i denne kontrakten.;condition;You must accept every condition in this contract.;
en guttunge;Han er bare en liten guttunge ennå.;young boy;He is just a little young boy still.;
et omfang;Arbeidet har et stort omfang og tar tid.;extent;The work has a large extent and takes time.;
kreativ;Hun er en veldig kreativ person som maler.;creative;She is a very creative person who paints.;
et format;Hvilket format bruker du på dette dokumentet?;format;Which format are you using for this document?;
et beløp;Det totale beløpet står på denne kvitteringen.;amount;The total amount is written on this receipt.;
en oljepris;En lav oljepris påvirker økonomien i landet.;oil price;A low oil price affects the economy in the country.;
å kåre;De kårer en vinner av konkurransen i kveld.;to name;They name a winner of the competition tonight.;
en fortelling;Bestefar leser en spennende fortelling for barna.;tale;Grandfather reads an exciting tale for the children.;
en ulykke;Det skjer en ulykke på veien i dag.;accident;An accident happens on the road today.;
en bensinstasjon;Jeg fyller bensin på en bensinstasjon i nærheten.;gas station;I am filling gas at a gas station nearby.;
en læring;God læring krever mye motivasjon og tid.;learning;Good learning requires much motivation and time.;
en arbeidstaker;Hver arbeidstaker har rett på ferie hvert år.;employee;Every employee has the right to vacation every year.;
myk;Denne puta føles veldig myk og god.;soft;This pillow feels very soft and good.;
smart;Det er smart å spare penger til fremtiden.;smart;It is smart to save money for the future.;
et barnevern;Barnevernet jobber for å hjelpe alle barn.;child welfare;The child welfare service works to help all children.;
koselig;Vi har det veldig koselig sammen i kveld.;cozy;We are having a very cozy time together tonight.;
en stall;Hestene står inne i en stor stall nå.;stable;The horses are standing inside a large stable now.;
en forandring;Vi trenger en stor forandring i denne planen.;change;We need a big change in this plan.;
et mangfold;Det er et stort kulturelt mangfold i Oslo.;diversity;There is a great cultural diversity in Oslo.;
en tone;Hun snakker alltid i en rolig tone.;tone;She always speaks in a calm tone.;
en liter;Jeg kjøper en liter melk på butikken.;liter;I am buying a liter of milk at the store.;
en strid;Det er en lang strid om de nye reglene.;conflict;There is a long conflict about the new rules.;
regulere;Staten må regulere prisene på strøm.;regulate;The state must regulate electricity prices.;
en fil;Jeg sender deg en fil på e-post.;a file;I am sending you a file by email.;
en snøball;Barnet kaster en snøball på vennen sin.;a snowball;The child throws a snowball at their friend.;
et fenomen;Nordlys er et vakkert naturlig fenomen.;a phenomenon;Northern lights are a beautiful natural phenomenon.;
en skolebuss;Barna venter på en skolebuss hver morgen.;a school bus;The children wait for a school bus every morning.;
hvorvidt;Jeg er usikker på hvorvidt han kommer.;whether;I am unsure whether he is coming.;
langsiktig;Vi trenger en langsiktig plan for prosjektet.;long-term;We need a long-term plan for the project.;
godta;Du må godta vilkårene for å fortsette.;accept;You must accept the terms to continue.;
ligne;De to brødrene ligner mye på hverandre.;resemble;The two brothers resemble each other a lot.;
hemmelig;Hun holder gaven hemmelig fram til bursdagen.;secret;She keeps the gift secret until the birthday.;
innse;Jeg begynner å innse at jeg tok feil.;realize;I am starting to realize that I was wrong.;
en kampanje;Bedriften starter en ny kampanje i morgen.;a campaign;The company is starting a new campaign tomorrow.;
et pass;Husk å ta med et pass til flyplassen.;a passport;Remember to bring a passport to the airport.;
unik;Hver snøkrystall har en unik form.;unique;Every snow crystal has a unique shape.;
et gram;Oppskriften sier at vi trenger et gram krydder.;a gram;The recipe says we need a gram of spice.;
en scene;Skuespillerne står på en scene og snakker.;a stage;The actors are standing on a stage and speaking.;
et overskudd;Butikken har et stort overskudd i år.;a surplus;The store has a large surplus this year.;
nåværende;Min nåværende adresse er i Oslo sentrum.;current;My current address is in Oslo city center.;
russisk;Hun studerer russisk historie ved universitetet.;Russian;She studies Russian history at the university.;
advare;Politiet vil advare folk mot glatte veier.;warn;The police want to warn people about slippery roads.;
et lån;Jeg må søke om et lån i banken.;a loan;I have to apply for a loan at the bank.;
en datamaskin;Jeg bruker en datamaskin til å skrive oppgaver.;a computer;I use a computer to write assignments.;
en omsorg;Barn trenger mye omsorg fra foreldrene sine.;care;Children need a lot of care from their parents.;
et medium;Internett er et viktig medium for nyheter.;a medium;The internet is an important medium for news.;
et regnskap;Sjefen går gjennom et regnskap for bedriften.;financial records;The boss goes through the financial records for the company.;
et opphold;Vi har et hyggelig opphold på hotellet.;stay;We have a pleasant stay at the hotel.;
kjekk;Han er en veldig kjekk og snill mann.;handsome;He is a very handsome and kind man.;
skeptisk;Jeg er litt skeptisk til den nye planen.;skeptical;I am a bit skeptical of the new plan.;
et motiv;Politiet leter etter et motiv for handlingen.;motive;The police are looking for a motive for the action.;
skarp;Kniven er veldig skarp og kutter godt.;sharp;The knife is very sharp and kutter godt.;
en avgift;Du må betale en avgift for å parkere.;fee;You must pay a fee to park.;
en vest;Han har på seg en gul vest ute.;vest;He is wearing a yellow vest outside.;
informere;Læreren informerer oss om den nye prøven.;inform;The teacher informs us about the new test.;
et trinn;Dette er det første trinnet i prosessen.;step;This is the first step in the process.;
et årsmøte;Alle medlemmer må delta på et årsmøte.;annual meeting;All members must participate in an annual meeting.;
en frøken;Hun er en dyktig frøken på skolen.;teacher;She is a skilled teacher at the school.;
betrakte;Jeg liker å betrakte naturen i skogen.;observe;I like to observe nature in the forest.;
et synspunkt;Hva er ditt synspunkt på denne saken?;point of view;What is your point of view on this matter?;
en fotballbane;Barna leker på en stor fotballbane.;football field;The children are playing on a large football field.;
ille;Det lukter veldig ille på dette rommet.;bad;It smells very bad in this room.;
et individ;Hvert individ har rett til egne meninger.;individual;Every individual has the right to their own opinions.;
en dose;Du tar en dose medisin hver morgen.;dose;You take a dose of medicine every morning.;
en leverandør;Vi venter på en pakke fra vår leverandør.;supplier;We are waiting for a package from our supplier.;
en planlegging;God planlegging er viktig for et bra resultat.;planning;Good planning is important for a good result.;
pedagogisk;Læreren bruker en pedagogisk metode i klassen.;pedagogical;The teacher uses a pedagogical method in the class.;
en frist;Vi har en kort frist på denne oppgaven.;deadline;We have a short deadline on this task.;
blank;Arket på bordet er helt blankt.;blank;The sheet on the table is completely blank.;
mektig;Kongen er en mektig mann i dette landet.;powerful;The king is a powerful man in this country.;
lide;Han lider av en sjelden sykdom.;suffer;He suffers from a rare disease.;
en stue;Vi sitter i en stue og ser TV.;living room;We are sitting in a living room watching TV.;
en voks;Han bruker voks for å style håret sitt.;wax;He uses wax to style his hair.;
en øy;Vi skal reise til en liten øy i sommer.;island;We are going to travel to a small island this summer.;
en vinterferie;Barna gleder seg til en uke med vinterferie.;winter vacation;The children are looking forward to a week of winter vacation.;
en nedgang;Det er en stor nedgang i prisene nå.;decline;There is a large decline in prices now.;
et overhode;Han er familiens overhode og tar alle beslutninger.;head;He is the head of the family and makes all decisions.;
investere;Hun vil investere penger i et nytt firma.;invest;She wants to invest money in a new company.;
et tempo;Vi holder et høyt tempo på jobben i dag.;pace;We are keeping a high pace at work today.;
gråte;Barnet begynner å gråte fordi han er sulten.;cry;The child starts to cry because he is hungry.;
strekke;Jeg må strekke meg etter den lange turen.;stretch;I must stretch after the long trip.;
utgi;Forlaget skal utgi boken hennes til våren.;publish;The publisher will publish her book in the spring.;
en speider;En flink speider kan klare seg selv i skogen.;scout;A clever scout can manage on their own in the forest.;
et statsbudsjett;Regjeringen legger frem et nytt statsbudsjett hvert år.;national budget;The government presents a new national budget every year.;
en bot;Han må betale en bot for å kjøre for fort.;fine;He must pay a fine for speeding.;
juridisk;De trenger juridisk hjelp for å løse saken.;legal;They need legal help to solve the case.;
en vert;Vår vert ønsker oss velkommen til festen.;host;Our host welcomes us to the party.;
en oppfølging;Pasienten trenger god oppfølging etter operasjonen.;follow-up;The patient needs good follow-up after the surgery.;
et fat;Hun serverer deilig mat på et stort fat.;platter;She serves delicious food on a large platter.;
faen;Faen, jeg glemte å kjøpe melk på butikken!;damn;Damn, I forgot to buy milk at the store!;
en straff;Han får en streng straff for lovbruddet.;punishment;He gets a strict punishment for the crime.;
foretrekke;Jeg foretrekker kaffe fremfor te om morgenen.;prefer;I prefer coffee over tea in the morning.;
signere;Du må signere kontrakten før du begynner.;sign;You must sign the contract before you begin.;
et blodsukker;Han må måle sitt blodsukker hver morgen.;blood sugar;He must measure his blood sugar every morning.;
vegne;Jeg snakker på vegne av hele gruppen.;behalf;I speak on behalf of the whole group.;
sakte;Bilen kjører sakte på den glatte veien.;slowly;The car drives slowly on the slippery road.;
en transport;Offentlig transport er veldig viktig i denne byen.;transport;Public transport is very important in this city.;
en divisjon;Vi spiller i en lavere divisjon i år.;a division;We are playing in a lower division this year.;
en mynt;Han finner en gammel mynt på gata.;a coin;He finds an old coin on the street.;
et overgrep;Politiet etterforsker et alvorlig overgrep.;an assault;The police are investigating a serious assault.;
et tidsskrift;Jeg leser et spennende tidsskrift om vitenskap.;a journal;I am reading an exciting journal about science.;
ei lue;Barnet har på seg ei rød lue.;a hat;The child is wearing a red hat.;
ond;Mannen i eventyret er veldig ond.;evil;The man in the fairy tale is very evil.;
å gli;Bilen begynner å gli på den glatte isen.;to slide;The car starts to slide on the slippery ice.;
et storting;Norge har bare ett storting.;a parliament;Norway has only one parliament.;
et forbud;Det er forbud mot å røyke her.;a prohibition;There is a prohibition against smoking here.;
en valgkamp;Partiene krangler mye under en valgkamp.;an election campaign;The parties argue a lot during an election campaign.;
en eks;Hun snakker ofte med eksen sin.;an ex;She often talks with her ex.;
en vaksine;Legen gir barnet en viktig vaksine.;a vaccine;The doctor gives the child an important vaccine.;
evig;De lover hverandre evig kjærlighet.;eternal;They promise each other eternal love.;
en oppskrift;Jeg følger en enkel oppskrift på vafler.;a recipe;I follow a simple recipe for waffles.;
bestemt;Hun er en veldig bestemt dame.;determined;She is a very determined lady.;
et vitne;Politiet snakker med et vitne til ulykken.;a witness;The police are talking to a witness to the accident.;
en bakke;Vi går opp en bratt bakke til huset.;a hill;We walk up a steep hill to the house.;
en tilknytning;Barnet har en nær tilknytning til foreldrene.;an attachment;The child has a close attachment to the parents.;
hovedsakelig;Planen består hovedsakelig av nye ideer.;mainly;The plan mainly consists of new ideas.;
spent;Jeg er veldig spent på resultatet.;excited;I am very excited about the result.;
stress;Mange føler mye stress på jobben.;stress;Many feel a lot of stress at work.;
å håndtere;Han lærer å håndtere vanskelige situasjoner.;to handle;He learns to handle difficult situations.;
en menighet;Hun synger i koret i vår menighet.;a congregation;She sings in the choir in our congregation.;
en variant;Dette er en ny variant av viruset.;a variant;This is a new variant of the virus.;
en gass;Jeg lager mat på en ovn med gass.;gas;I cook food on a stove with gas.;
en dødball;Laget er veldig gode på hver dødball.;dead ball;The team is very good at every dead ball.;
en hjerne;Hjernen trenger mye energi for å fungere.;brain;The brain needs a lot of energy to function.;
å stanse;Bussen skal stanse ved neste holdeplass.;to stop;The bus will stop at the next stop.;
en regissør;En kjent regissør har laget denne filmen.;director;A famous director has made this film.;
en balanse;Det er viktig med god balanse i livet.;balance;It is important to have good balance in life.;
en fotograf;En flink fotograf tok dette bildet.;photographer;A clever photographer took this picture.;
dyktig;Hun er en dyktig lege med mye erfaring.;skilled;She is a skilled doctor with much experience.;
henholdsvis;De er henholdsvis åtte og ti år gamle.;respectively;They are respectively eight and ten years old.;
en utbygging;Byen planlegger en stor utbygging av veien.;development;The city is planning a major development of the road.;
unødvendig;Det er unødvendig å bruke så mye penger.;unnecessary;It is unnecessary to spend so much money.;
et ballspill;Fotball er et veldig populært ballspill.;ball game;Football is a very popular ball game.;
en innsikt;Kurset gir oss ny innsikt i faget.;insight;The course gives us new insight into the subject.;
en bakgård;Barna leker ofte i en rolig bakgård.;backyard;The children often play in a quiet backyard.;
nyfødt;Den lille babyen er helt nyfødt.;newborn;The little baby is brand newborn.;
en tabell;Se på denne tabellen for å finne svaret.;table;Look at this table to find the answer.;
en medarbeider;Han er en hyggelig medarbeider på kontoret.;colleague;He is a pleasant colleague at the office.;
å senke;Vi må senke farten i denne svingen.;to lower;We must lower the speed in this turn.;
et kosthold;Et sunt kosthold gir deg mer energi.;diet;A healthy diet gives you more energy.;
en grunne;Båten traff en grunne i fjorden.;shallows;The boat hit a shallow in the fjord.;
støl;Jeg er ofte støl etter en treningsøkt.;stiff;I am often stiff after a workout.;
naturligvis;Han blir naturligvis med på festen.;naturally;He is naturally joining the party.;
å feste;De liker å feste i helgene.;to party;They like to party during the weekends.;
et opptak;Skolen har opptak av nye studenter i august.;admission;The school has admission of new students in August.;
en rektor;Vår rektor snakker med elevene hver dag.;principal;Our principal talks with the students every day.;
en gjennomføring;Planen krever en rask gjennomføring.;implementation;The plan requires a quick implementation.;
en realitet;Drømmen hans er nå en realitet.;reality;His dream is now a reality.;
en arbeider;En arbeider bygger et nytt hus.;a worker;A worker builds a new house.;
en tann;Jeg har en vond tann.;tooth;I have a painful tooth.;
flat;Denne veien er veldig flat.;flat;This road is very flat.;
tilsi;Alt tilsier at prisen øker.;indicate;Everything indicates that the price is increasing.;
en kopi;Jeg trenger en kopi av passet.;copy;I need a copy of the passport.;
en begrunnelse;Han gir en god begrunnelse for valget.;justification;He gives a good justification for the choice.;
